Date,Open,High,Low,Close,Volume
31-Dec-08,85.97,87.74,85.34,85.35,21715763
30-Dec-08,87.42,88.05,84.72,86.29,34579620
29-Dec-08,86.52,87.62,85.07,86.61,24567225
26-Dec-08,86.64,87.42,85.24,85.81,11043071
25-Dec-08,-,-,-,85.04,0
24-Dec-08,86.14,86.25,84.55,85.04,9694994
23-Dec-08,86.87,87.87,85.90,86.38,22917026
22-Dec-08,90.02,90.03,84.69,85.74,30182216
19-Dec-08,89.94,90.94,88.80,90.00,29105844
18-Dec-08,89.31,90.83,88.44,89.43,30633639
17-Dec-08,91.03,91.10,88.02,89.16,46432736
16-Dec-08,93.98,96.48,92.75,95.43,40159758
15-Dec-08,95.99,96.21,93.00,94.75,31858968
12-Dec-08,92.80,99.00,92.53,98.27,37243348
11-Dec-08,97.35,101.24,94.83,95.00,37260007
10-Dec-08,97.87,99.49,96.50,98.21,33517137
9-Dec-08,98.09,103.60,97.21,100.06,43004198
8-Dec-08,97.28,100.80,95.80,99.72,42346166
5-Dec-08,90.35,94.49,88.86,94.00,37300120
4-Dec-08,94.43,95.21,89.06,91.41,38988771
3-Dec-08,89.40,96.23,88.80,95.90,47864908
2-Dec-08,90.03,92.65,86.50,92.47,41050587
1-Dec-08,91.30,92.27,88.92,88.93,33005789
28-Nov-08,94.70,94.76,91.86,92.67,10757337
27-Nov-08,-,-,-,95.00,0
26-Nov-08,89.92,95.25,89.85,95.00,32160801
25-Nov-08,94.63,94.71,88.16,90.80,44127030
24-Nov-08,85.21,94.79,84.84,92.95,51524734
21-Nov-08,81.93,84.12,79.14,82.58,56056064
20-Nov-08,85.24,86.45,80.00,80.49,61312137
19-Nov-08,89.44,91.58,86.21,86.29,41866901
18-Nov-08,89.64,90.99,86.86,89.91,43226932
17-Nov-08,88.48,90.55,87.26,88.14,41532997
14-Nov-08,93.76,93.99,90.00,90.24,50188530
13-Nov-08,89.87,96.44,86.02,96.44,66262918
12-Nov-08,92.43,93.24,90.01,90.12,42104581
11-Nov-08,94.81,97.17,92.26,94.77,43749871
10-Nov-08,100.17,100.40,94.50,95.88,40210214
7-Nov-08,99.24,99.85,95.72,98.24,39129879
6-Nov-08,101.05,102.78,98.00,99.10,47129942
5-Nov-08,108.91,109.72,102.99,103.30,44915163
4-Nov-08,109.99,111.79,106.67,110.99,49998779
3-Nov-08,105.93,109.10,104.86,106.96,37801380
31-Oct-08,107.40,110.78,105.14,107.59,59291831
30-Oct-08,108.23,112.19,107.61,111.04,58503130
29-Oct-08,100.86,109.54,99.94,104.55,69761344
28-Oct-08,95.43,100.50,92.37,99.91,58418200
27-Oct-08,95.07,97.63,91.86,92.09,43192456
24-Oct-08,90.33,97.90,90.11,96.38,56776428
23-Oct-08,96.51,99.25,91.90,98.23,59836774
22-Oct-08,97.37,101.25,92.93,96.87,80314583
21-Oct-08,96.95,97.90,91.16,91.49,78344909
20-Oct-08,99.78,100.03,93.64,98.44,55327434
17-Oct-08,99.60,102.04,85.88,97.40,62968111
16-Oct-08,99.77,103.43,91.74,101.89,70732875
15-Oct-08,103.84,107.00,97.89,97.95,56577695
14-Oct-08,116.26,116.40,103.14,104.08,70799596
13-Oct-08,104.55,110.53,101.02,110.26,55017170
10-Oct-08,85.70,100.00,85.00,96.80,79296481
9-Oct-08,93.35,95.80,86.60,88.74,57792499
8-Oct-08,85.91,96.33,85.68,89.79,78903010
7-Oct-08,100.48,101.50,88.95,89.16,67205977
6-Oct-08,91.96,98.78,87.54,98.14,75279639
3-Oct-08,104.00,106.50,94.65,97.07,82128597
2-Oct-08,108.01,108.79,100.00,100.10,57518522
1-Oct-08,111.92,112.36,107.39,109.12,46335451
30-Sep-08,108.25,115.00,106.30,113.66,58133772
29-Sep-08,119.62,119.68,100.59,105.26,93644809
26-Sep-08,124.91,129.80,123.00,128.24,40216217
25-Sep-08,129.80,134.79,128.52,131.93,35930140
24-Sep-08,127.27,130.95,125.15,128.71,37405903
23-Sep-08,131.85,135.80,126.66,126.84,45827195
22-Sep-08,139.94,140.25,130.66,131.05,30596882
19-Sep-08,142.60,144.20,136.31,140.91,51124696
18-Sep-08,130.57,135.43,120.68,134.09,59866187
17-Sep-08,138.49,138.51,127.83,127.83,42873320
16-Sep-08,133.86,142.50,132.15,139.88,42851292
15-Sep-08,142.03,147.69,140.36,140.36,32879787
12-Sep-08,150.91,150.91,146.50,148.94,28326685
11-Sep-08,148.18,152.99,146.00,152.65,34683322
10-Sep-08,152.32,154.99,148.80,151.61,34761594
9-Sep-08,156.86,159.96,149.79,151.68,44465156
8-Sep-08,164.57,164.89,151.46,157.92,37365411
5-Sep-08,158.59,162.40,157.65,160.18,28102959
4-Sep-08,165.86,167.91,160.81,161.22,26578982
3-Sep-08,166.84,168.68,164.00,166.96,26248117
2-Sep-08,172.40,173.50,165.00,166.19,27908193
29-Aug-08,172.96,173.50,169.04,169.53,21404481
28-Aug-08,175.28,176.25,172.75,173.74,15406578
27-Aug-08,173.31,175.76,172.19,174.67,17063546
26-Aug-08,172.76,174.88,172.61,173.64,15920648
25-Aug-08,176.15,176.23,171.66,172.55,17303450
22-Aug-08,175.82,177.50,175.57,176.79,15704473
21-Aug-08,174.47,175.45,171.89,174.29,19286365
20-Aug-08,174.77,176.94,173.61,175.84,18111738
19-Aug-08,174.54,177.07,171.81,173.53,22007236
18-Aug-08,175.57,177.81,173.82,175.39,19714732
15-Aug-08,179.04,179.75,175.05,175.74,25296349
14-Aug-08,178.33,180.45,177.84,179.32,25403601
13-Aug-08,177.98,180.00,175.90,179.30,30100786
12-Aug-08,173.52,179.29,173.51,176.73,29872166
11-Aug-08,170.07,176.50,169.67,173.56,31832206
8-Aug-08,163.86,169.65,163.75,169.55,25500650
7-Aug-08,162.71,166.15,161.50,163.57,24017815
6-Aug-08,159.97,167.40,158.00,164.19,28266458
5-Aug-08,155.42,160.80,154.82,160.64,24594669
4-Aug-08,156.60,157.90,152.91,153.23,21167696
1-Aug-08,159.90,159.99,155.75,156.66,19457796
31-Jul-08,157.54,162.20,156.98,158.95,22768525
30-Jul-08,157.78,160.49,156.08,159.88,25902261
29-Jul-08,155.41,159.45,153.65,157.08,24437215
28-Jul-08,162.34,162.47,154.02,154.40,27891235
25-Jul-08,160.40,163.00,158.65,162.12,22625472
24-Jul-08,164.32,165.26,158.45,159.03,29986320
23-Jul-08,164.99,168.37,161.56,166.26,37920218
22-Jul-08,149.00,162.76,146.53,162.02,67128289
21-Jul-08,166.90,167.50,161.12,166.29,48588195
18-Jul-08,168.52,169.65,165.00,165.15,31004574
17-Jul-08,174.10,174.98,171.39,171.81,27054456
16-Jul-08,170.20,172.93,168.60,172.81,26716567
15-Jul-08,172.48,173.74,166.39,169.64,37144352
14-Jul-08,179.24,179.30,173.08,173.88,31644790
11-Jul-08,175.47,177.11,171.00,172.58,33214614
10-Jul-08,174.92,177.34,171.37,176.63,30024547
9-Jul-08,180.20,180.91,174.14,174.25,32003589
8-Jul-08,175.40,179.70,172.74,179.55,31738989
7-Jul-08,173.16,177.13,171.90,175.16,29299603
3-Jul-08,169.59,172.17,165.75,170.12,18694175
2-Jul-08,175.20,177.45,168.18,168.18,29951728
1-Jul-08,164.23,174.72,164.00,174.68,39688556
30-Jun-08,170.06,172.00,166.62,167.44,24440648
27-Jun-08,166.51,170.57,164.15,170.09,37222315
26-Jun-08,174.07,174.84,168.01,168.26,31057440
25-Jun-08,174.61,178.83,173.88,177.39,23016067
24-Jun-08,172.37,175.78,171.63,173.25,22216923
23-Jun-08,174.74,175.88,171.56,173.16,23072024
20-Jun-08,179.35,181.00,175.00,175.27,31720067
19-Jun-08,178.55,182.34,176.80,180.90,28311343
18-Jun-08,181.12,182.20,177.35,178.75,28980970
17-Jun-08,178.10,181.99,177.41,181.43,32148419
16-Jun-08,171.30,177.90,169.07,176.84,37561768
13-Jun-08,171.64,174.16,165.31,172.37,48060646
12-Jun-08,181.49,182.60,171.20,173.26,46726115
11-Jun-08,184.34,186.00,179.59,180.81,34341045
10-Jun-08,180.51,186.78,179.02,185.64,40747845
9-Jun-08,184.79,184.94,175.75,181.61,67442535
6-Jun-08,188.00,189.95,185.55,185.64,34504377
5-Jun-08,186.34,189.84,185.70,189.43,26980102
4-Jun-08,184.02,187.09,183.23,185.19,25981128
3-Jun-08,186.86,188.20,182.34,185.37,27049567
2-Jun-08,188.60,189.65,184.53,186.10,24280000
30-May-08,187.45,189.54,187.38,188.75,21784360
29-May-08,186.76,188.20,185.50,186.69,23113799
28-May-08,187.41,187.95,183.72,187.01,26570641
